Chains level	B1-P	B2-P	B3-P	C1-P	C2-P	C3-P	E1-P	E2-P	E3-P	A1-P	A2-P	A3-P
Label	LcS	LcS	LcS	LcS	LcS	LcS	WS	WS	WS	WS	WS	WS
AAHFA 17:1_19:0;O	6E-05	6E-05	6E-05	2E-05	2E-05	2E-05	3E-05	2E-05	3E-05	0.00015	0.00019	9E-05
AAHFA 18:2_18:2;O	0	0	0	0	0	0	2E-05	4E-05	2E-05	0.0001	0.00013	6E-05
AAHFA 18:2_20:1;O	0	2E-05	0	0	0	0	0	0	0	0.00012	6E-05	7E-05
AAHFA 18:3_20:0;O	1E-05	1E-05	0	0	0	0	3E-05	2E-05	2E-05	0.0002	0.00029	0.00013
AAHFA 2:0_20:2;O	8E-05	3E-05	8E-05	9E-05	9E-05	0.0001	0.00012	0.00024	6E-05	0.00034	0.0002	0.00013
AAHFA 2:0_20:3;O	6E-05	2E-05	2E-05	8E-05	0.00012	9E-05	0.00021	0.00031	0.00018	0.00023	0.00012	0.00011
AAHFA 2:0_26:6;O	0.0001	0.0001	0.00012	0.00016	0.00011	0.00011	0.0002	9E-05	0.00014	0.0002	3E-05	8E-05
AAHFA 22:5_18:2;O	0.0002	0.00025	0.00025	0.00035	0.00018	0.00033	0.00032	0.00036	0.00055	0.0026	0.00054	0.0009
AAHFA 22:5_21:2;O	4E-05	1E-05	4E-05	1E-05	0	0	0	1E-05	4E-05	0.00012	8E-05	4E-05
AAHFA 7:0_11:0;O	0.01446	0.007	0.01421	0.0019	0.00209	0.00194	0.00206	0.00147	0.00214	0.03169	0.02302	0.01358
AAHFA 8:0_11:0;O	0.00022	0.00022	0.00019	0.00014	0.00017	0.00011	0.00176	0.00307	0.00218	0.00105	0.00101	0.00048
Cer 12:2;2O_16:2;O(FA 18:2)	0	0	0	1E-05	0	4E-05	5E-05	4E-05	6E-05	1E-05	1E-05	1E-05
Cer 13:1;2O_12:0;(3OH)	5E-05	4E-05	5E-05	0	0	0	1E-05	0	2E-05	0.0005	0.00054	0.00017
Cer 15:0;2O_28:0;O(FA 18:2)	0	0	0	0	0	0	2E-05	0	0	7E-05	0.00012	9E-05
Cer 16:0;2O_15:0;(3OH)(FA 18:2)	1E-05	3E-05	1E-05	0	0	0	0	0	0	0	2E-05	0
Cer 16:1;2O_16:0;(2OH)	0.00021	0.00023	0.00021	0.00012	0.00013	0.00012	0	0	0	7E-05	2E-05	5E-05
Cer 17:0;2O_16:0	0.0027	0.00275	0.00267	0.00081	0.00089	0.0008	0.00019	0.00013	0.00015	0.00067	0.00128	0.00046
Cer 17:0;3O_16:0	0.00022	0.00023	0.00028	0.00012	0.00021	0.00012	0.00078	0.00057	0.00067	0.00029	0.00012	0.00015
Cer 17:2;2O_16:0;(2OH)	0.00123	0.00133	0.00126	0.00067	0.0007	0.00064	0.00015	0.00013	0.00014	0.00064	0.00057	0.00039
Cer 17:2;3O_24:1;(2OH)	6E-05	6E-05	6E-05	1E-05	7E-05	6E-05	4E-05	4E-05	4E-05	4E-05	6E-05	3E-05
Cer 18:0;2O_15:0;(2OH)	0.00013	0.00014	0.00013	6E-05	8E-05	8E-05	1E-05	1E-05	1E-05	7E-05	0.00011	4E-05
Cer 18:0;2O_16:0	0.01347	0.01391	0.01376	0.00241	0.00241	0.00225	0.00073	0.00063	0.00067	0.00263	0.00555	0.00188
Cer 18:0;2O_16:0;(2OH)	0.00182	0.00192	0.00189	0.00049	0.00051	0.00047	0.00024	0.00018	0.00019	0.00079	0.00173	0.00057
Cer 18:0;3O_12:0	0.00019	0.00022	0.0002	1E-05	5E-05	3E-05	3E-05	2E-05	1E-05	3E-05	3E-05	1E-05
Cer 18:0;3O_13:0	4E-05	4E-05	3E-05	3E-05	3E-05	3E-05	2E-05	2E-05	1E-05	2E-05	2E-05	1E-05
Cer 18:0;3O_14:0	0.00209	0.00229	0.00221	0.00115	0.00123	0.0011	0.00074	0.00059	0.00064	0.00078	0.00107	0.00048
Cer 18:0;3O_15:0;(2OH)	0.0001	0.00011	0.00011	0.0002	0.0002	0.00019	2E-05	0.00017	0.00019	0.00033	0.00041	0.00021
Cer 18:0;3O_16:0	0.00761	0.00796	0.00772	0.00258	0.00445	0.00408	0.00501	0.00211	0.00434	0.00502	0.00885	0.00339
Cer 18:0;3O_16:0;(2OH)	0.00069	0.00075	0.00074	0.0008	0.00094	0.00087	0.00401	0.00513	0.00573	0.00429	0.00614	0.00269
Cer 18:0;3O_16:1	5E-05	1E-05	4E-05	8E-05	3E-05	4E-05	0	0	0	1E-05	2E-05	0
Cer 18:0;3O_17:0	0.00024	0.00025	0.00023	0.00013	0.00015	0.00015	7E-05	5E-05	6E-05	0.00011	0.00024	8E-05
Cer 18:0;3O_18:0	0.00705	0.00726	0.00724	0.00389	0.00371	0.00338	0.00255	0.00025	0.0021	0.00309	0.00663	0.00226
Cer 18:0;3O_18:0;(2OH)	0.00291	0.00312	0.00316	0.00265	0.00158	0.0024	0.00637	0.00506	0.00547	0.00607	0.0128	0.00445
Cer 18:0;3O_18:1	4E-05	0	3E-05	1E-05	4E-05	1E-05	8E-05	7E-05	8E-05	0.00183	0.00253	0.00111
Cer 18:0;3O_18:2	0.00016	0.00018	0.00017	7E-05	9E-05	3E-05	2E-05	0.0001	4E-05	0.00117	0.00151	0.0006
Cer 18:0;3O_20:0	0.00151	0.00164	0.00158	0.00075	0.00074	0.00072	0.00039	0.00028	0.00031	0.00048	0.00064	0.00029
Cer 18:0;3O_20:0;(2OH)	0.00248	0.00266	0.00261	0.00205	0.00227	0.00211	0.0036	0.00266	0.00288	0.00357	0.00604	0.00249
Cer 18:0;3O_21:0	0.00039	0.00043	0.0004	0.00017	0.00018	0.00017	8E-05	5E-05	4E-05	0.00012	0.00015	8E-05
Cer 18:0;3O_21:0;(2OH)	0.00075	0.00082	0.00081	0.00067	0.00073	0.00066	0.00039	0.00028	0.0003	0.00058	0.00084	0.00038
Cer 18:0;3O_22:0	0.00808	0.00881	0.00885	0.00445	0.00409	0.00391	0.00362	0.00222	0.00305	0.00375	0.0051	0.00249
Cer 18:0;3O_22:0;(2OH)	0.01282	0.01489	0.01456	0.00853	0.01211	0.01155	0.00892	0.00684	0.00677	0.01077	0.00914	0.00601
Cer 18:0;3O_22:1	0.00017	0.00018	0.00015	0.00013	0.00014	0.00013	0.00026	0.00018	0.0002	0.00013	0.00018	8E-05
Cer 18:0;3O_22:1;(2OH)	0.00019	0.00022	0.00028	0.00024	0.00023	0.00021	0.0011	0.00075	0.00089	0.0005	0.00076	0.00034
Cer 18:0;3O_23:0	0.00135	0.00148	0.0014	0.00043	0.00057	0.00054	0.0004	0.00032	0.00033	0.00044	0.0003	0.00028
Cer 18:0;3O_23:0;(2OH)	0.00749	0.0083	0.00832	0.00812	0.00773	0.00736	0.00519	0.00351	0.00418	0.00635	0.00865	0.00426
Cer 18:0;3O_23:1;(2OH)	0.00135	0.00145	0.00146	0.00256	0.00312	0.00291	0.00562	0.00417	0.00454	0.00337	0.00504	0.00227
Cer 18:0;3O_24:0	0.01301	0.0107	0.01351	0.00572	0.00403	0.00733	0.00779	0.00186	0.00389	0.00486	0.00092	0.00332
Cer 18:0;3O_24:0;(2OH)	0.02456	0.02536	0.02718	0.01028	0.02564	0.02442	0.02495	0.02039	0.00026	0.02309	0.01344	0.01816
Cer 18:0;3O_24:1	0.00153	0.00164	0.00162	0.00198	0.00189	0.0018	0.00295	0.00179	0.00264	0.00208	0.0026	0.00122
Cer 18:0;3O_24:1;(2OH)	0.00501	0.00625	0.00577	0.00748	0.01056	0.01006	0.02028	0.01891	0.02145	0.00981	0.01214	0.00994
Cer 18:0;3O_24:2;(2OH)	8E-05	8E-05	9E-05	0.00012	0.00012	0.00012	0.00044	0.00037	0.00033	0.00014	0.00022	0.0001
Cer 18:0;3O_25:0	0.00198	0.00214	0.0021	0.00271	0.0012	0.00112	0.00117	0.00088	0.00076	0.00092	0.0011	0.00056
Cer 18:0;3O_25:0;(2OH)	0.00461	0.00488	0.00516	0.0068	0.00736	0.0064	0.00552	0.00387	0.00421	0.00283	0.0005	0.00251
Cer 18:0;3O_25:1;(2OH)	0.00043	0.00048	0.00047	0.00066	0.00062	0.00064	0.00109	0.00087	0.00104	0.00085	0.00099	0.00055
Cer 18:0;3O_26:0	0.00114	0.00127	0.00127	0.0007	0.00069	0.00061	0.00038	0.00028	0.00035	0.00038	0.0006	0.00027
Cer 18:0;3O_26:0;(2OH)	0.00217	0.00247	0.00255	0.00339	0.00321	0.00284	0.00378	0.00264	0.00294	0.00321	0.00422	0.00053
Cer 18:0;3O_26:1;(2OH)	0.00041	0.00034	0.00043	0.00075	0.00097	0.00091	0.00282	0.00202	0.00238	0.00132	0.00035	0.00084
Cer 18:0;3O_27:0	0	0	0	0	0	0	0.00092	1E-05	0	0	0.00078	1E-05
Cer 18:1;2O_15:0	0.00245	0.0026	0.00247	0.00018	0.00114	0.00105	0.00025	0.00019	0.0002	0.00057	0.00091	0.00037
Cer 18:1;2O_15:0;(2OH)	0.0004	0.00048	0.00042	0.0002	0.00024	0.00021	6E-05	0.00011	0.00013	0.00036	0.0005	0.00021
Cer 18:1;2O_16:0	0.00732	0.00774	0.00764	0.00203	0.00197	0.0018	0.00137	0.00102	0.00107	0.00211	0.00438	0.0015
Cer 18:1;2O_16:0;(2OH)	0.00492	0.0054	0.0051	0.00186	0.00179	0.00168	0.00011	0.00029	0.00031	0.00161	0.00251	0.00105
Cer 18:1;3O_24:1;(2OH)	1E-05	0	2E-05	4E-05	2E-05	1E-05	0.00029	0.00026	0.00026	5E-05	4E-05	2E-05
Cer 18:2;2O_14:0	0.00051	0.00056	0.00054	0.00016	0.00024	0.00023	2E-05	3E-05	2E-05	7E-05	7E-05	4E-05
Cer 18:2;2O_15:0	0.00019	0.00021	0.0002	6E-05	6E-05	6E-05	0	0	0	3E-05	5E-05	2E-05
Cer 18:2;2O_16:0	0.0056	0.00608	0.00576	0.00229	0.00235	0.0022	0.00083	0.00078	0.00082	0.00084	0.00126	0.00053
Cer 18:2;2O_16:0;(2OH)	0.0011	0.00118	0.00118	0.00028	0.00028	0.0003	0.0003	0.00044	0.0005	0.00087	0.00132	0.00056
Cer 18:2;2O_22:0;O(FA 18:2)	5E-05	5E-05	5E-05	4E-05	3E-05	4E-05	5E-05	3E-05	5E-05	0.00058	0.00068	0.0004
Cer 18:2;3O_22:0;(2OH)	0.00033	0.00033	0.00032	0.00026	0.00026	0.00024	0.00037	0.00028	0.00032	0.00019	0.00029	0.00014
Cer 19:0;2O_17:0;(2OH)	8E-05	9E-05	8E-05	2E-05	2E-05	2E-05	1E-05	0	1E-05	4E-05	7E-05	2E-05
Cer 19:0;2O_24:0;O(FA 18:2)	0	0	0	0	0	0	0	0	1E-05	0.00014	5E-05	0.0001
Cer 19:1;3O_25:0	0.00111	0.00112	0.00121	0.00091	0.00138	0.00147	0.00227	0.00109	0.00143	0.00074	0.00092	0.00044
Cer 19:2;2O_15:0;(2OH)	0.00088	0.00097	0.00098	0.00083	0.00088	0.00083	0.00017	0.0002	0.00022	0.00037	0.00056	0.00023
Cer 19:2;2O_15:0;O(FA 18:1)	4E-05	8E-05	4E-05	4E-05	4E-05	4E-05	0	1E-05	0	0.00012	8E-05	9E-05
Cer 19:2;2O_16:0	0.00086	0.00091	0.0009	0.00047	0.00049	0.00047	0.00029	0.0002	0.00023	0.00077	0.00146	0.00052
Cer 19:2;2O_16:0;(2OH)	0.00402	0.00424	0.00415	0.00176	0.00276	0.00256	0.00158	0.00138	0.0015	0.00264	0.00519	0.0018
Cer 19:2;2O_18:0	4E-05	5E-05	5E-05	3E-05	3E-05	2E-05	4E-05	3E-05	4E-05	0.00012	0.0002	8E-05
Cer 19:2;2O_18:1	0.00027	0.00035	0.00032	0.00024	0.00018	0.00028	0.00051	0.00043	0.00022	0.00094	0.00196	0.00082
Cer 19:2;2O_18:2	0.00096	0.00107	0.00112	0.00035	0.00036	0.00039	8E-05	0.0001	0.00011	0.00135	0.00244	0.0009
Cer 19:2;2O_24:1;(2OH)	6E-05	6E-05	5E-05	9E-05	7E-05	6E-05	6E-05	2E-05	4E-05	8E-05	5E-05	6E-05
Cer 19:3;2O_17:2;O(FA 18:2)	6E-05	6E-05	5E-05	2E-05	2E-05	3E-05	3E-05	2E-05	2E-05	0.00031	0.00023	0.00021
Cer 21:0;2O_15:0;(3OH)(FA 18:2)	0	0	0	0	0	0	0	0	0	3E-05	3E-05	4E-05
Cer 21:1;2O_18:0;(3OH)	8E-05	0.00011	0.0001	2E-05	4E-05	4E-05	5E-05	4E-05	4E-05	6E-05	4E-05	2E-05
Cer 21:1;2O_38:6;(3OH)	0	0	0	1E-05	1E-05	0	2E-05	1E-05	1E-05	7E-05	5E-05	5E-05
Cer 22:0;2O_12:0;(3OH)(FA 16:0)	2E-05	3E-05	2E-05	1E-05	2E-05	2E-05	4E-05	1E-05	3E-05	0.00019	0.00021	0.00014
Cer 22:0;2O_12:0;(3OH)(FA 18:1)	3E-05	4E-05	4E-05	2E-05	2E-05	3E-05	3E-05	1E-05	4E-05	0.00034	0.00029	0.00023
Cer 22:0;2O_16:0;O(FA 18:2)	1E-05	1E-05	1E-05	0	0	0	0	0	0	1E-05	2E-05	1E-05
Cer 22:0;2O_18:0;(3OH)(FA 16:0)	2E-05	2E-05	2E-05	1E-05	2E-05	1E-05	1E-05	1E-05	1E-05	2E-05	2E-05	5E-05
Cer 22:0;2O_19:0;(3OH)(FA 18:1)	0	0	0	0	0	0	0	0	0	1E-05	1E-05	0
Cer 22:0;2O_20:0;(3OH)(FA 16:0)	0	0	0	0	0	0	0	0	0	2E-05	3E-05	1E-05
Cer 22:0;2O_20:0;(3OH)(FA 18:0)	0	0	0	0	0	0	0	0	0	0	2E-05	0
Cer 22:0;2O_20:0;(3OH)(FA 18:1)	0	0	1E-05	0	1E-05	1E-05	2E-05	1E-05	2E-05	0.00025	0.00038	0.00019
Cer 22:0;2O_20:0;(3OH)(FA 18:2)	1E-05	0	1E-05	1E-05	2E-05	1E-05	2E-05	2E-05	2E-05	0.00033	0.00061	0.00017
