Metabolite	n-B-01-WT	n-B-02-HOM-CLEAs	n-B-03-HOM	n-B-04-HOM-CLEAs	n-B-05-HOM	n-B-06-WT	n-B-07-HOM	n-B-08-WT	n-B-09-HOM-CLEAs	n-B-10-WT	n-B-11-WT	n-B-12-HOM	n-B-13-HOM	n-B-14-HOM-CLEAs	n-B-15-HOM-CLEAs	n-B-16-WT
Cer[NS] 18:1;O2(d7)_15:0	61267604	61207612	68184496	69796112	67657648	67015536	65176828	61662520	61338672	59154380	56600424	91632032	64970832	83822128	69041131	64265452
LPC 18:1(d7)	1444915	1461915	1610682	1548300	1509583	1565540	1430721	1417913	1392412	1306175	1243769	2166089	1407986	1926142	1582192	1418006
LPE 18:1(d7)	2595606	2613294	2944724	2841964	2793068	2853976	2643367	2578298	2520971	2351928	2309862	4183854	2629416	3647962	2906048	2590984
PC 15:0_18:1(D7)	1811100	1918124	2187727	1969932	1955390	1995491	1870871	1914971	1907917	1799796	1711696	2940726	2020855	2640550	2109131	1868689
PE 15:0_18:1(d7)	4214078	4631969	4896406	4470014	4535048	4559896	4298978	4531404	4426664	4208876	4299382	6427564	4763128	5836008	4841164	4497402
PG 15:0_18:1(d7)	4583721	4759524	5273000	5116871	5062906	5091016	4799336	4690679	4627842	4398625	4310980	7538484	4841660	6651258	5288874	4800921
PI 15:0_18:1(d7)	3813100	3815915	4403616	4339595	4232678	4289792	4064674	3954612	3924359	3693383	3615207	6214514	4158059	5513246	4398279	4031125
PS 15:0_18:1(d7)	2781004	2576888	3306268	3160999	3176591	3136833	2907434	2892046	2847796	2700568	2553496	4914494	3032100	4271364	3214262	2841348
SM 18:1;2O/18:1(d9)	2039743	2126211	2301304	2240274	2210922	2312937	2090396	2135200	2051782	1938068	1877218	3283027	2195098	3000175	2354611	2182053
Cer[NS] 18:1;O2_16:0 	1017001	1206300	1358432	1453588	1443583	945276	1236923	857898	1280170	792533	1166498	2285385	1935648	2427339	1591849	1599492
Cer[NS] 18:1;O2_18:0 	15884965	12243300	14685767	15686294	15600004	15330704	13509228	13816421	12096668	11862092	16536730	23748038	19404748	25687130	16428348	24815934
Cer[NS] 18:1;O2_22:0 	336051	270609	324851	398201	396872	290744	318040	220874	288529	236512	331571	738673	445820	634066	397851	479489
Cer[NS] 18:1;O2_24:0 	316518	230794	264191	336374	339579	263192	267342	194286	231350	210975	296791	637066	343163	512014	327633	410580
Cer[NS] 18:1;O2_24:1 	2419747	1918865	2260840	2962678	2921059	2139855	2272643	1485086	2033867	1806880	1499510	3547029	2184408	3085037	2500112	2569765
Cer[NS] 18:2;O2_18:0 	7865201	6903475	7759090	8269414	8020216	7505612	7268916	6803650	6312292	5902150	6344705	8424865	6995810	9150140	7658830	8662550
Cer[NS] 20:1;O2_18:0 	794461	548695	684226	755497	732030	739741	610711	617300	580541	573910	844928	1459417	1077325	1418759	825873	1460054
