"LipidClass"	"n.B.01.WT"	"n.B.02.HOM.CLEAs"	"n.B.03.HOM"	"n.B.04.HOM.CLEAs"	"n.B.05.HOM"	"n.B.06.WT"	"n.B.07.HOM"	"n.B.08.WT"	"n.B.09.HOM.CLEAs"	"n.B.10.WT"	"n.B.11.WT"	"n.B.12.HOM"	"n.B.13.HOM"	"n.B.14.HOM.CLEAs"	"n.B.15.HOM.CLEAs"	"n.B.16.WT"
"label"	"61267604"	"61207612"	"68184496"	"69796112"	"67657648"	"67015536"	"65176828"	"61662520"	"61338672"	"59154380"	"56600424"	"91632032"	"64970832"	"83822128"	"69041131"	"64265452"
"PC"	"106271979"	"92344082"	"101858307"	"115025933"	"113281746"	"99820119"	"104709679"	"92249664"	"90442333"	"86501431"	"80218796"	"119774650"	"87076150"	"115539544"	"103337975"	"97590149"
"PE"	"84716970"	"71953631"	"81900516"	"93088122"	"87406450"	"81060467"	"86079311"	"74392445"	"72968444"	"70875044"	"73845171"	"112414878"	"72356671"	"105755571"	"85941444"	"91807502"
"PG"	"6172494"	"5944669"	"6767164"	"7018690"	"6763075"	"6601865"	"6482791"	"6035728"	"5969041"	"5705634"	"5324524"	"9910831"	"6059968"	"8700602"	"6908251"	"6420609"
"PI"	"3813100"	"3815915"	"4403616"	"4339595"	"4232678"	"4289792"	"4064674"	"3954612"	"3924359"	"3693383"	"3615207"	"6214514"	"4158059"	"5513246"	"4398279"	"4031125"
"PS"	"66307262"	"53257947"	"58916197"	"69825685"	"71858519"	"63447767"	"62767551"	"51402243"	"52633186"	"49471635"	"45101605"	"77506979"	"52569200"	"72920914"	"62159435"	"54249350"
"SM"	"2039743"	"2126211"	"2301304"	"2240274"	"2210922"	"2312937"	"2090396"	"2135200"	"2051782"	"1938068"	"1877218"	"3283027"	"2195098"	"3000175"	"2354611"	"2182053"
"Cer[NS]"	"28633944"	"23322038"	"27337397"	"29862046"	"29453343"	"27215124"	"25483803"	"23995515"	"22823417"	"21385052"	"27020733"	"40840473"	"32386922"	"42914485"	"29730496"	"39997864"
"CL"	"481280"	"391211"	"421363"	"618951"	"352441"	"479882"	"572112"	"490304"	"505241"	"516943"	"368656"	"671796"	"472123"	"616106"	"532878"	"532556"
"Ether-PC-O"	"1735938"	"1461607"	"1642899"	"1858893"	"1773571"	"1613583"	"1706328"	"1518755"	"1431438"	"1424091"	"1525812"	"2053536"	"1682307"	"2045280"	"1699305"	"1792423"
"Ether-PE-O"	"14538574"	"9106235"	"10371934"	"12229714"	"11862346"	"13640094"	"10834140"	"10979123"	"9138171"	"12425642"	"10355455"	"13516854"	"10153714"	"11992983"	"10616776"	"13520322"
"Ether-PI-O"	"12845467"	"7186711"	"8657214"	"11258035"	"7821651"	"12259223"	"11820657"	"11110625"	"7355118"	"11154388"	"1188296"	"13720736"	"1524509"	"15917260"	"10429281"	"1323484"
"LPC"	"1404812"	"1237597"	"1303095"	"1625178"	"1640533"	"1268752"	"1354250"	"1190290"	"1245291"	"1039516"	"1538975"	"2910087"	"1827178"	"2849803"	"1739468"	"2198613"
"LPE"	"6460249"	"5233681"	"5626188"	"7029804"	"7417180"	"5749216"	"6103761"	"5428313"	"5251435"	"4790207"	"3062030"	"5305759"	"3362318"	"4679546"	"5548617"	"4808611"
"LPI"	"640671"	"364487"	"443362"	"540237"	"475090"	"590712"	"576185"	"514730"	"374320"	"440821"	"379322"	"675006"	"346189"	"543457"	"455625"	"369458"
"Plasmenyl-PE-P"	"104262798"	"78514014"	"90887660"	"108080546"	"102530098"	"98329819"	"99907121"	"85660298"	"63317368"	"60439023"	"84303895"	"108206344"	"91640611"	"127172109"	"94271013"	"80474524"
"Plasmenyl-PS-P"	"2219570"	"1752975"	"2099796"	"2504699"	"2392668"	"2141021"	"3096990"	"2396461"	"2246918"	"2071794"	"1783290"	"3344846"	"1766280"	"2943597"	"2362047"	"2163010"
