"LipidClass"	"N.A01.r001"	"N.A01.r002"	"N.A01.r003"	"N.A02.r001"	"N.A02.r002"	"N.A02.r003"	"N.A03.r001"	"N.A03.r002"	"N.A03.r003"	"N.A04.r001"	"N.A04.r002"	"N.A04.r003"	"N.A05.r001"	"N.A05.r002"	"N.A05.r003"	"N.A06.r001"	"N.A06.r002"	"N.A06.r003"	"N.A07.r001"	"N.A07.r002"	"N.A07.r003"	"N.A08.r001"	"N.A08.r002"	"N.A08.r003"	"N.A09.r001"	"N.A09.r002"	"N.A09.r003"	"N.A10.r001"	"N.A10.r002"	"N.A10.r003"	"N.HD.ARP.r001"	"N.HD.ARP.r002"	"N.HD.ARP.r003"	"N.HD.CUR.r001"	"N.HD.CUR.r002"	"N.HD.CUR.r003"	"N.HD01.r001"	"N.HD01.r002"	"N.HD01.r003"	"N.HD03.r001"	"N.HD03.r002"	"N.HD03.r003"	"N.HD04.r001"	"N.HD04.r002"	"N.HD04.r003"	"N.HD05.r001"	"N.HD05.r002"	"N.HD05.r003"	"N.HD15.r001"	"N.HD15.r002"	"N.HD15.r003"	"N.HD19.r001"	"N.HD19.r002"	"N.HD19.r003"	"N.HD21.r001"	"N.HD21.r002"	"N.HD21.r003"	"N.HD23.r001"	"N.HD23.r002"	"N.HD23.r003"	"N.HD24.r001"	"N.HD24.r002"	"N.HD24.r003"	"N.N01.r001"	"N.N01.r002"	"N.N01.r003"	"N.N02.r001"	"N.N02.r002"	"N.N02.r003"	"N.N03.r001"	"N.N03.r002"	"N.N03.r003"	"N.N04.r001"	"N.N04.r002"	"N.N04.r003"	"N.N05.r001"	"N.N05.r002"	"N.N05.r003"
"label"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"CV19"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"	"HD"
"BMP"	"32.4611"	"34.0128"	"26.4702"	"10.7412"	"11.8922"	"20.2182"	"17.9154"	"19.0348"	"20.0811"	"22.4114"	"9.4049"	"22.5476"	"20.6292"	"21.8359"	"23.7398"	"7.2804"	"8.5303"	"8.6867"	"10.678"	"11.6133"	"10.7705"	"16.8076"	"16.4625"	"16.238"	"26.1376"	"28.8427"	"29.182"	"29.5609"	"20.7711"	"30.6349"	"9.4956"	"11.2328"	"10.6655"	"10.7523"	"11.4534"	"12.1481"	"14.6524"	"16.2913"	"15.696"	"13.1199"	"13.198"	"12.9559"	"13.8059"	"14.1546"	"12.6271"	"12.9168"	"12.468"	"12.4459"	"26.8103"	"17.3423"	"15.1782"	"22.1542"	"22.4135"	"22.237"	"11.6364"	"12.5705"	"12.5143"	"14.6537"	"14.5184"	"15.5277"	"22.1513"	"30.9012"	"32.5055"	"19.3444"	"19.5466"	"19.0822"	"13.5055"	"13.4926"	"13.9469"	"15.4981"	"16.5229"	"18.6472"	"23.0195"	"21.9384"	"24.4765"	"19.3903"	"20.6396"	"19.7552"
"CAR"	"23.1151"	"24.3889"	"24.0203"	"11.8796"	"12.9196"	"13.5843"	"10.4949"	"11.2905"	"12.212"	"13.7921"	"15.4039"	"15.8222"	"10.1232"	"11.3724"	"11.7391"	"9.0288"	"9.9545"	"10.5193"	"12.3798"	"13.4246"	"13.4949"	"14.2192"	"16.2536"	"15.5261"	"11.0991"	"12.426"	"12.2287"	"13.936"	"15.0895"	"14.8372"	"9.5843"	"9.6096"	"9.922"	"11.3732"	"12.5075"	"12.9773"	"11.944"	"13.0142"	"13.1497"	"11.3354"	"11.7511"	"12.3734"	"9.0145"	"10.1748"	"10.0696"	"8.9084"	"9.6663"	"9.8854"	"13.0416"	"13.5633"	"15.061"	"9.487"	"10.1167"	"10.71"	"9.5901"	"10.2668"	"10.5543"	"12.2078"	"13.7755"	"13.5073"	"48.1468"	"50.4628"	"52.7599"	"11.7776"	"13.1333"	"13.3003"	"13.7461"	"15.3691"	"15.9627"	"16.0723"	"16.5525"	"16.919"	"12.3174"	"13.4057"	"13.4482"	"15.0249"	"16.1461"	"16.5955"
"CE"	"1662.2097"	"1590.2255"	"1793.1501"	"4189.29"	"3129.8699"	"3345.3909"	"4930.3471"	"3622.2947"	"3329.0376"	"4282.076"	"4209.3208"	"4056.2434"	"2020.6048"	"2212.3506"	"1633.9183"	"1698.0817"	"1654.3487"	"1991.8061"	"2172.1815"	"2312.6189"	"2148.791"	"2205.9207"	"1702.5528"	"1713.3459"	"1022.5257"	"1006.6951"	"961.6974"	"1553.6786"	"1496.896"	"1324.6773"	"7027.6053"	"5449.1982"	"5395.4421"	"18249.0878"	"21145.3545"	"14065.5998"	"18491.7815"	"14147.5963"	"13065.0667"	"6753.042"	"6776.9177"	"6069.2872"	"4008.7032"	"3269.9408"	"3454.6388"	"3716.6728"	"3611.2967"	"3468.4777"	"9724.5997"	"10359.835"	"7573.1456"	"5882.6659"	"4740.171"	"6636.9697"	"8433.1372"	"3014.6142"	"6318.5707"	"5199.8758"	"4446.6429"	"4642.7922"	"7900.7142"	"6502.259"	"8813.4453"	"1792.2891"	"1530.1533"	"1625.0176"	"730.6939"	"729.572"	"835.7152"	"966.3582"	"1113.7543"	"1011.7878"	"2616.4581"	"2345.5125"	"2328.7627"	"3526.5538"	"2959.2404"	"3496.7474"
"Cer"	"541.8636"	"570.809"	"580.9255"	"890.9306"	"887.2175"	"712.7674"	"1184.4329"	"1149.1001"	"1170.8789"	"1489.3795"	"1446.5356"	"1501.1803"	"1206.3921"	"1186.7774"	"1259.4836"	"858.8355"	"657.0649"	"593.9561"	"1094.4628"	"1078.4623"	"1105.5898"	"784.6873"	"778.9727"	"946.6286"	"871.4169"	"831.4303"	"839.5589"	"1374.1984"	"1331.2308"	"1589.1973"	"1453.5115"	"1425.1359"	"1385.847"	"1843.0758"	"1801.9123"	"1782.8021"	"1401.3054"	"1419.0704"	"1598.2347"	"1479.3086"	"1427.4701"	"1419.5062"	"946.9376"	"776.1551"	"991.5811"	"1298.9414"	"1364.6555"	"1380.9554"	"1893.8484"	"1974.0459"	"1928.404"	"1416.6293"	"1378.5033"	"1390.3047"	"1354.8465"	"1477.0246"	"1456.6847"	"1559.9919"	"1579.2707"	"1617.213"	"1576.4248"	"1630.651"	"1636.1576"	"1618.8977"	"1631.9914"	"1671.726"	"1107.2326"	"1209.1509"	"1051.4748"	"915.8596"	"826.6465"	"767.8447"	"1432.5076"	"1405.785"	"1386.9469"	"1987.5018"	"1939.8097"	"1951.8209"
"CL"	"222.877"	"220.942"	"212.341"	"166.644"	"176.272"	"158.044"	"173.954"	"180.561"	"177.651"	"155.404"	"128.82"	"143.404"	"171.166"	"170.529"	"158.169"	"141.498"	"136.24"	"147.155"	"140.713"	"125.524"	"123.71"	"167.906"	"164.672"	"184.894"	"203.764"	"199.233"	"181.186"	"179.811"	"185.734"	"285.622"	"161.241"	"165.254"	"160.191"	"134.057"	"134.359"	"139.164"	"124.198"	"153.558"	"140.397"	"127.38"	"136.397"	"139.141"	"144.334"	"134.421"	"134.472"	"146.145"	"172.197"	"143.997"	"117.787"	"111.971"	"108.363"	"138.903"	"129.209"	"131.213"	"124.45"	"118.431"	"123.453"	"155.32"	"178.538"	"134.139"	"260.422"	"254.775"	"240.774"	"140.646"	"131.721"	"136.925"	"171.281"	"189.473"	"158.808"	"217.04"	"203.205"	"148.152"	"145.226"	"170.317"	"181.883"	"212.731"	"241.102"	"243.164"
"DG"	"1237.215"	"1210.0277"	"931.3256"	"452.3809"	"434.1105"	"389.6713"	"578.7751"	"481.3363"	"514.3218"	"1826.4988"	"1747.595"	"1826.4255"	"829.4302"	"998.7587"	"879.6748"	"823.0059"	"702.5911"	"776.4638"	"736.4969"	"597.8551"	"581.8537"	"907.592"	"784.9397"	"705.4056"	"1435.6599"	"1284.9947"	"1212.953"	"827.5261"	"710.4926"	"634.2628"	"260.2496"	"206.3609"	"272.5971"	"445.0814"	"476.5113"	"475.915"	"1001.2838"	"993.389"	"799.3826"	"670.966"	"630.7162"	"566.8466"	"621.2301"	"515.2418"	"527.5938"	"938.3153"	"846.5539"	"835.4548"	"949.1775"	"814.1748"	"712.6528"	"502.5896"	"599.2179"	"593.8528"	"516.1038"	"483.2313"	"493.7569"	"534.7919"	"605.6833"	"547.3178"	"508.8781"	"446.3874"	"476.6982"	"1806.1395"	"1462.2236"	"1513.5342"	"860.8304"	"751.5986"	"675.4291"	"835.9739"	"814.0221"	"787.6152"	"1251.628"	"1140.6276"	"1101.1309"	"886.8028"	"849.2629"	"753.3266"
"DG-O"	"75.3479"	"68.7628"	"59.3686"	"70.3484"	"71.0221"	"64.1869"	"51.9122"	"45.9743"	"48.3114"	"102.0768"	"103.1648"	"291.3302"	"182.3704"	"52.0583"	"46.3202"	"53.7649"	"48.8136"	"56.074"	"184.6451"	"159.1849"	"159.0089"	"99.3804"	"230.0431"	"206.1019"	"66.056"	"208.9926"	"207.3535"	"91.9155"	"80.7003"	"75.5815"	"74.1808"	"58.155"	"78.2535"	"147.7376"	"84.728"	"157.5884"	"74.299"	"72.6968"	"206.804"	"94.0784"	"92.6936"	"186.7016"	"148.2074"	"73.051"	"139.0489"	"73.9215"	"70.0287"	"197.3644"	"329.3359"	"296.8916"	"126.2703"	"67.3151"	"72.7154"	"120.787"	"108.068"	"99.5143"	"114.0781"	"130.269"	"144.801"	"141.1545"	"139.9633"	"121.2207"	"107.6007"	"467.5666"	"99.1276"	"100.1869"	"93.8437"	"184.1657"	"81.4598"	"71.9309"	"222.0392"	"218.7005"	"90.4509"	"83.8025"	"83.5548"	"269.8202"	"268.9988"	"239.6031"
"DMPE"	"8.846"	"8.483"	"9.052"	"6.896"	"7.023"	"6.459"	"5.528"	"17.45"	"56.913"	"10.367"	"10.483"	"9.812"	"9.564"	"9.185"	"9.174"	"9.151"	"7.961"	"9.135"	"7.658"	"8.197"	"7.906"	"6.752"	"6.715"	"5.717"	"6.89"	"6.893"	"6.289"	"7.878"	"5.994"	"7.856"	"9.175"	"9.385"	"9.594"	"12.824"	"119.848"	"12.475"	"11.169"	"10.538"	"10.083"	"10.366"	"10.129"	"10.791"	"8.813"	"10.484"	"10.086"	"7.966"	"8.314"	"8.767"	"9.895"	"9.64"	"9.298"	"7.605"	"7.446"	"7.676"	"7.342"	"7.569"	"7.319"	"7.015"	"7.276"	"7.277"	"7.983"	"6.906"	"7.625"	"5.976"	"5.992"	"5.987"	"4.649"	"4.001"	"4.881"	"4.137"	"4.155"	"7.489"	"5.554"	"5.46"	"5.184"	"9.348"	"9.972"	"9.299"
"FA"	"2564.777"	"2616.27"	"2726.687"	"2892.829"	"2780.408"	"2874.532"	"3017.761"	"2893.477"	"2944.896"	"3070.002"	"3029.303"	"3195.005"	"2580.804"	"2599.022"	"2684.917"	"2788.12"	"2805.673"	"2882.088"	"2866.483"	"3049.965"	"3017.728"	"3148.589"	"2961.822"	"3186.121"	"3759.629"	"3725.094"	"3436.754"	"3177.789"	"3155.009"	"3265.918"	"2896.543"	"2866.391"	"2870.45"	"2521.833"	"2544.651"	"2713.698"	"2862.127"	"2612.017"	"2691.662"	"2750.937"	"2609.678"	"2659.706"	"2897.281"	"2851.246"	"2983.434"	"2756.918"	"2725.872"	"2752.157"	"2564.039"	"2625.073"	"2611.257"	"2476.764"	"2360.631"	"2464.031"	"2572.956"	"2485.796"	"2370.076"	"2749.468"	"2787.53"	"2876.754"	"2474.391"	"2662.592"	"2784.472"	"3367.35"	"3225.513"	"3430.799"	"3109.233"	"3063.824"	"3138.746"	"2912.298"	"2936.694"	"3090.736"	"2998.597"	"2988.787"	"2872.812"	"2879.993"	"2987.885"	"2346.433"
