"LipidClass"	"SC.06.WT"	"SC.08.WT"	"SC.10.WT"	"SC.11.WT"	"SC.01.WT"	"SC.16.WT"	"SC.03.HOM"	"SC.05.HOM"	"SC.07.HOM"	"SC.12.HOM"	"SC.13.HOM"	"SC.02.HOM.CLEAs"	"SC.04.HOM.CLEAs"	"SC.09.HOM.CLEAs"	"SC.14.HOM.CLEAs"	"SC.15.HOM.CLEAs"
"label"	"WT"	"WT"	"WT"	"WT"	"WT"	"WT"	"HOM"	"HOM"	"HOM"	"HOM"	"HOM"	"HOM-CLEAs"	"HOM-CLEAs"	"HOM-CLEAs"	"HOM-CLEAs"	"HOM-CLEAs"
"CE"	"0.0181107824"	"0.075392991"	"0.037193425"	"0.1123952394"	"0.022834597"	"0.168649046"	"0.065766416"	"1.22991476"	"0.373304956"	"0.27899353"	"0.168225614"	"0.215897699"	"1.191099734"	"0.105382038"	"0.204811947"	"0.218309112"
"Cer[NS]"	"0.014610413"	"0.013917778"	"0.014247599"	"0.03391931"	"0.020654331"	"0.047072633"	"0.033957749"	"0.019485655"	"0.020372703"	"0.057400316"	"0.058314398"	"0.01563827"	"0.022671733"	"0.020463296"	"0.043804768"	"0.057909912"
"CL"	"0.057019743"	"0.058711398"	"0.074365869"	"0.062236702"	"0.050620019"	"0.075429936"	"0.049099804"	"0.048400547"	"0.051199233"	"0.07921966"	"0.05135681"	"0.057083356"	"0.044313071"	"0.060666771"	"0.058639226"	"0.068847271"
"DG"	"0.387998087"	"0.207585511"	"0.31431641"	"0.355417339"	"0.389006348"	"0.70098103"	"0.038164339"	"0.197199492"	"0.210709727"	"0.217833651"	"0.207705795"	"0.41513334"	"0.198520453"	"0.245846816"	"0.166464498"	"0.234047743"
"Ether-PC-O"	"0.143086169"	"0.180583664"	"0.142354216"	"0.162180273"	"0.113876119"	"0.209169612"	"0.172494735"	"0.199539917"	"0.132270867"	"0.168074291"	"0.124791676"	"0.156995585"	"0.153136475"	"0.16017558"	"0.15195876"	"0.171778505"
"Ether-PE-O"	"1.234944729"	"1.507009139"	"1.380386763"	"1.398095832"	"0.845886419"	"1.955452705"	"0.470371655"	"0.977464383"	"0.85716129"	"1.223663439"	"0.976367341"	"0.606013621"	"0.831527966"	"1.16406762"	"1.099928718"	"1.382382957"
"Ether-PI-O"	"1.196782771"	"1.195206095"	"1.319996422"	"1.408322312"	"0.650024989"	"1.599414034"	"0.545965501"	"1.04125172"	"0.932674295"	"1.513348887"	"1.099742244"	"0.785547268"	"0.890837217"	"1.232287149"	"1.340792382"	"1.47390929"
"Hex-Cer[NS]"	"0.002556735"	"0.004410186"	"0.003108674"	"0.003706773"	"0.002001058"	"0.00398994"	"0.0016535"	"0.003645137"	"0.004009876"	"0.003773846"	"0.004575649"	"0.002285759"	"0.004213661"	"0.005848275"	"0.003860105"	"0.005134365"
"LPC"	"0.43455058"	"0.471446362"	"0.433542237"	"0.718558321"	"0.198150523"	"0.788525981"	"0.445972677"	"0.42820862"	"0.345335429"	"0.759358397"	"0.418763144"	"0.268173105"	"0.293391184"	"0.394015256"	"0.585392633"	"0.683486641"
"LPE"	"0.667136664"	"0.828486703"	"0.840710254"	"1.180880394"	"0.313260849"	"1.616115721"	"0.381005189"	"0.503643225"	"0.459223814"	"1.535237369"	"0.724913642"	"0.336851977"	"0.385512167"	"0.566898858"	"1.028847534"	"1.187146625"
"PA"	"6.630481427"	"6.548892286"	"7.782238632"	"5.204639779"	"16.898116347"	"10.548848129"	"3.44663747"	"6.419588534"	"11.585987646"	"5.743892873"	"15.534782358"	"4.07930164"	"8.550221935"	"9.164505225"	"5.822286881"	"8.14512814"
"PC"	"2.910671271"	"3.269382744"	"3.452944794"	"4.114822658"	"2.854547163"	"3.58633903"	"3.784218637"	"3.712819922"	"3.262538934"	"3.942325573"	"3.035885305"	"3.347886082"	"3.26321074"	"3.317389928"	"3.720166305"	"3.748299843"
"PC-Cer"	"0.3379423"	"0.569964787"	"0.445194533"	"0.457074287"	"0.26678369"	"0.4556466"	"0.288175518"	"0.558254641"	"0.414970105"	"0.457657091"	"0.310897282"	"0.439606604"	"0.500365785"	"0.481747296"	"0.349564998"	"0.441794298"
"PE"	"2.939956021"	"3.342054185"	"3.558265613"	"3.64465346"	"2.163558467"	"4.428170487"	"1.589996441"	"2.7098579"	"2.694450652"	"4.174180886"	"2.585737218"	"1.907927182"	"2.289567038"	"3.212227747"	"3.227550923"	"3.561823316"
"PG"	"0.146402655"	"0.152223697"	"0.17813341"	"0.189176817"	"0.098232175"	"0.224046559"	"0.095491617"	"0.176316656"	"0.160694102"	"0.283141425"	"0.170948744"	"0.110462201"	"0.156983124"	"0.215178237"	"0.210562532"	"0.219068297"
"Plasmenyl-PE-P"	"8.558140123"	"9.814217724"	"9.025846881"	"9.42670491"	"5.869977357"	"13.090982157"	"3.337801037"	"7.50761688"	"6.983764528"	"9.611105682"	"7.571079394"	"4.741080381"	"6.468646714"	"9.152117154"	"8.965626117"	"10.572893383"
"PS"	"4.889361732"	"5.794805538"	"5.317826225"	"4.889327066"	"3.128177965"	"7.273964259"	"1.564224324"	"4.809081283"	"4.293182818"	"5.802605461"	"5.32495693"	"2.517500556"	"3.67983768"	"5.580426737"	"5.712264455"	"6.783391112"
"TG"	"2.578899509"	"0.7720084166"	"1.191506765"	"1.974636002"	"2.623577158"	"0.746838857"	"0.079241084"	"0.423432966"	"0.369007771"	"0.382775871"	"0.28826982"	"2.764303636"	"0.498967424"	"0.468334354"	"0.169484178"	"0.221526798"
