variabile_1	variabile_2	GENE
PA	DG	PAP
PA	PG	CDS
PA	PI	CDS
PA	LPA	PLA
PA	PS	CDS/PSS
PC	PA	PLD
PC	SM	SMS
PC	PS	PSS1
PC	LPC	PLA
PC	PG	?
PC	DG	PLC/SMS
PE	PC	PEMT
PE	PS	PSS2
PE	LPE	PLA
PE	DG	PLC
PS	PA	PLD
PS	DG	PLC
PS	LPS	PLA
PS	PE	PSD
PG	CL	?
Cer	SM	SMsyn
SM	Cer	Smpd
PI	LPI	PLA
PI	PA	PLD
PI	DG	PI4 K/PLC
DG	PA	DGK
DG	MG	DAG Lipase
DG	PE	CEPT1/CPT1
DG	PC	CEPT1/CHPT1
DG	PS	?
DG	TG	DGAT
CL	PG	MIGA/PLD6
CL	PA	MIGA/PLD7
LPA	PA	AGPAT
LPC	PC	LPCAT
LPE	PE	LPEAT
LPG	PG	LPGAT
LPS	PS	LPSAT
PC-O	PE-O	pippo
PE-O	PC-O	peppe
PC	PC-O	puppo
